# t,winchvel,rotvel,lightbright
19754,-0.698173,0.29791,0.410815
19837,-0.695256,0.30202,0.388997
19920,-0.69234,0.306131,0.36718
20003,-0.689424,0.310241,0.345362
20086,-0.686507,0.314351,0.323545
20169,-0.683591,0.318461,0.301727
20252,-0.680675,0.322571,0.27991
20335,-0.677758,0.326681,0.258092
20418,-0.674842,0.330791,0.236275
20501,-0.671926,0.334901,0.214457
20584,-0.669009,0.339012,0.201675
20667,-0.666093,0.343122,0.206639
20750,-0.663176,0.347232,0.211603
20833,-0.66026,0.351342,0.216567
20916,-0.657344,0.355452,0.221531
20999,-0.654427,0.359562,0.226495
21082,-0.651511,0.363672,0.231459
21165,-0.648594,0.367782,0.236423
21248,-0.645678,0.371893,0.241388
21331,-0.642762,0.376003,0.246352
21414,-0.639845,0.380113,0.251316
21497,-0.636929,0.384223,0.25628
21580,-0.634013,0.388333,0.261244
21663,-0.631096,0.392443,0.266208
21746,-0.62818,0.396553,0.271172
21829,-0.625264,0.400664,0.276136
21912,-0.622347,0.404774,0.2811
21995,-0.619431,0.408884,0.286065
22078,-0.616514,0.412994,0.291029
22161,-0.613598,0.417104,0.295993
22244,-0.610682,0.421214,0.300957
22327,-0.607765,0.425324,0.305921
22410,-0.604849,0.429435,0.310885
22493,-0.601933,0.433545,0.315849
22576,-0.599016,0.437655,0.320813
22659,-0.5961,0.441765,0.325778
22742,-0.593183,0.445875,0.330742
22825,-0.590267,0.449985,0.335706
22908,-0.587351,0.454095,0.34067
22991,-0.584434,0.458205,0.345634
23074,-0.581518,0.462316,0.350598
23157,-0.578602,0.466426,0.355562
23240,-0.575685,0.470536,0.360526
23323,-0.572769,0.474646,0.36549
23406,-0.569852,0.478756,0.370455
23489,-0.566936,0.482866,0.375419
23572,-0.56402,0.486976,0.380383
23655,-0.561103,0.491086,0.385347
23738,-0.558187,0.495197,0.390311
23821,-0.555271,0.499307,0.395275
23904,-0.552354,0.503417,0.400239
23987,-0.549438,0.507527,0.405203
24070,-0.546521,0.511637,0.410167
24153,-0.543605,0.515747,0.415132
24236,-0.540689,0.519857,0.420096
24319,-0.537772,0.523968,0.42506
24402,-0.534856,0.528078,0.430024
24485,-0.53194,0.532188,0.434988
24568,-0.529023,0.536298,0.439952
24651,-0.526107,0.540408,0.444916
24734,-0.52319,0.544518,0.44988
24817,-0.520274,0.548628,0.454844
24900,-0.517358,0.552738,0.459809
24983,-0.514441,0.556849,0.464773
25066,-0.511525,0.560959,0.469737
25149,-0.508609,0.565069,0.474701
25232,-0.505692,0.569179,0.479665
25315,-0.502776,0.573289,0.484629
25398,-0.499859,0.577399,0.489593
25481,-0.496943,0.581509,0.494557
25564,-0.494027,0.585619,0.499522
25647,-0.49111,0.58973,0.504486
25730,-0.488194,0.59384,0.50945
25813,-0.485278,0.59795,0.514414
25896,-0.482361,0.60206,0.519378
25979,-0.479445,0.60617,0.524342
26062,-0.476528,0.61028,0.529306
26145,-0.473612,0.61439,0.53427
26228,-0.470696,0.6185,0.539234
26311,-0.467779,0.622611,0.544199
26394,-0.464863,0.626721,0.549163
26477,-0.461947,0.630831,0.554127
26560,-0.45903,0.634941,0.559091
26643,-0.456114,0.639051,0.564055
26726,-0.453197,0.643161,0.569019
26809,-0.450281,0.647271,0.573983
26892,-0.447365,0.651382,0.578947
26975,-0.444448,0.655492,0.583911
27058,-0.441532,0.659602,0.588876
27141,-0.438616,0.663712,0.59384
27224,-0.435699,0.667822,0.598804
27307,-0.432783,0.671932,0.603768
27390,-0.429866,0.676042,0.608732
27473,-0.42695,0.680153,0.613696
